"b","bF","nb","x1","y0","tauib","y1"
6,"6",60,648,18614.8989614806,-31002.1074567259,0
6,"6",60,684,19648.708565547,-37167.5230647676,0
6,"6",60,685,19677.0510514686,-31190.4398182534,0
6,"6",60,679,19504.8295508036,-35811.4836904119,0
6,"6",60,651,18699.9734959528,-29678.5053957541,0
6,"6",60,667,19159.8653286297,-28923.1697457294,0
6,"6",60,692,19878.0961606203,-28498.2185592676,0
6,"6",60,640,18384.6422979159,-37211.7559754059,0
6,"6",60,625,17953.085449971,-27206.6575535232,0
6,"6",60,672,19304.4404748554,-39576.8591136029,0
6,"6",60,603,0,-32410.7198805584,0
6,"6",60,654,18788.6244701978,-37981.0821972363,0
6,"6",60,648,18618.9412060178,-38592.686733327,0
6,"6",60,641,18412.8216927126,-24164.4763452104,0
6,"6",60,625,17953.7007923644,-31064.684987209,0
6,"6",60,685,19676.9930050598,-27292.742302671,0
6,"6",60,612,17580.1424682141,-27996.4996730759,0
6,"6",60,652,18729.1214531005,-27421.7324184854,0
6,"6",60,593,0,-28236.5726134397,0
6,"6",60,662,19015.9087072594,-26057.8356397949,0
6,"6",60,667,19159.61264928,-30150.6039482974,0
6,"6",60,609,17493.506453116,-34611.8721448046,0
6,"6",60,621,17839.0434372123,-36934.645920593,0
6,"6",60,620,17809.4731942177,-29247.3024070131,0
6,"6",60,678,19475.8597841613,-29810.6557799104,0
6,"6",60,654,18786.1149423716,-32105.8813352132,0
6,"6",60,652,18729.2317076206,-35017.1911621319,0
6,"6",60,674,19360.6053277476,-31144.6506630051,0
6,"6",60,695,19964.1737350849,-34561.3813526661,0
6,"6",60,645,18528.152209785,-25546.8771063967,0
6,"6",60,683,19620.4866405674,-35349.1382031468,0
6,"6",60,650,18672.0949960263,-35641.3593679487,0
6,"6",60,636,18270.6039061133,-33057.3300183933,0
6,"6",60,624,17925.333668479,-36504.1041599082,0
6,"6",60,623,17897.0581938392,-37476.5306840202,0
6,"6",60,728,20914.9958559256,-34299.8259904315,0
6,"6",60,662,19017.575019436,-31087.5201464108,0
6,"6",60,668,19188.7290420387,-33163.2582364399,0
6,"6",60,684,19650.9129176637,-29755.7443530391,0
6,"6",60,638,18326.6321674496,-37208.802026745,0
6,"6",60,711,20423.6580428126,-37233.8939769163,0
6,"6",60,628,18041.6404936958,-30836.7540414816,0
6,"6",60,640,18384.5532577253,-29116.1343431532,0
6,"6",60,596,0,-32046.245666274,0
6,"6",60,696,19992.8599785145,-34195.7213795006,0
6,"6",60,663,19044.6549664352,-32754.2815559688,0
6,"6",60,649,18642.5866329784,-33297.0973952495,0
6,"6",60,663,19044.7043745507,-32565.3855964419,0
6,"6",60,622,17869.4199553751,-39146.00741533,0
6,"6",60,706,20280.2862937339,-26782.5285881979,0
6,"6",60,666,19133.3849715816,-31176.3906734071,0
6,"6",60,656,18843.7036062165,-39431.7752473294,0
6,"6",60,691,19849.0970959532,-37556.0530593093,0
6,"6",60,643,18470.3329414492,-32916.099098835,0
6,"6",60,654,18786.5304527804,-26846.3084251546,0
6,"6",60,670,19248.517623239,-27786.3026896518,0
6,"6",60,661,18990.774536732,-36627.2071728275,0
7,"7",70,1300,40758.9633478409,-96891.2268437766,0
7,"7",70,1285,40288.7723597751,-65812.0302569009,0
7,"7",70,1324,41511.7503244308,-87174.3209154242,0
7,"7",70,1290,40447.718084261,-90004.9123252578,0
7,"7",70,1291,40476.7935537103,-82825.0364638439,0
7,"7",70,1312,41135.495363058,-78549.6149942421,0
7,"7",70,1311,41104.0642108075,-66987.1637363827,0
7,"7",70,1303,40853.460665521,-80470.9225730203,0
7,"7",70,1341,42045.2073794656,-94346.9492668807,0
7,"7",70,1316,41261.8321183571,-64150.8568871033,0
7,"7",70,1330,41700.2211893128,-96130.8048891999,0
7,"7",70,1313,41166.6153269289,-96889.2666030085,0
7,"7",70,1295,40607.3360838112,-88278.2711345895,0
7,"7",70,1308,41010.060291626,-73866.4316437544,0
7,"7",70,1318,41326.0073616305,-80431.254822543,0
7,"7",70,1285,40288.6967709995,-88598.8536358223,0
7,"7",70,1358,42577.8045797623,-90201.7231150567,0
7,"7",70,1287,40353.3520756396,-72725.9627202105,0
7,"7",70,1284,40257.4200819126,-90852.0445764922,0
7,"7",70,1281,40165.8783845817,-92461.9989572501,0
7,"7",70,1280,40132.1001376758,-57699.2003091796,0
7,"7",70,1293,40539.4920611581,-90140.3637124014,0
7,"7",70,1276,40006.7220691017,-76826.216040824,0
7,"7",70,1326,41577.5941093596,-87697.235420881,0
7,"7",70,1320,41386.3156567809,-84327.2965971399,0
7,"7",70,1285,40288.6821325704,-71611.9617777014,0
7,"7",70,1296,40633.7068039848,-75764.1615400803,0
7,"7",70,1308,41011.0541321861,-91902.8731121321,0
7,"7",70,1241,0,-72522.4694530206,0
7,"7",70,1280,40133.3644073377,-84738.8656029641,0
7,"7",70,1337,41919.1013209271,-79602.0339791892,0
7,"7",70,1276,40006.5235166297,-81941.3678376433,0
7,"7",70,1375,43110.7512197505,-71281.3568186474,0
7,"7",70,1274,39944.2415409351,-64270.8428850807,0
7,"7",70,1224,0,-91459.3513398915,0
7,"7",70,1323,41480.1994717437,-78677.393743068,0
7,"7",70,1303,40854.6173480285,-83481.8794712836,0
7,"7",70,1316,41261.7280097093,-62914.129951107,0
7,"7",70,1277,40039.5906430266,-87810.643609232,0
7,"7",70,1313,41166.5785730806,-87152.7014847011,0
7,"7",70,1373,43048.0204838088,-78721.132454616,0
7,"7",70,1279,40100.6762763365,-80639.1999512446,0
7,"7",70,1269,0,-91513.6441022692,0
7,"7",70,1327,41605.5193328366,-75957.2926973615,0
7,"7",70,1324,41511.9341376203,-59019.6276968518,0
7,"7",70,1295,40602.1981113669,-87013.0841081057,0
7,"7",70,1344,42138.646260467,-77479.0966907715,0
7,"7",70,1330,41699.5704012946,-82932.3266085354,0
7,"7",70,1295,40602.1998640653,-77963.3288326191,0
7,"7",70,1363,42734.2054229242,-88725.8773786451,0
7,"7",70,1368,42891.110855287,-77255.9305489118,0
7,"7",70,1305,40915.8438756125,-92291.5992370533,0
7,"7",70,1297,40667.9885136664,-79810.4877332193,0
7,"7",70,1286,40320.0959986435,-91866.312894328,0
7,"7",70,1373,43047.7701191949,-87409.9349513332,0
7,"7",70,1321,41417.3875464359,-74381.9353668455,0
7,"7",70,1278,40069.2064851616,-86053.4335001613,0
7,"7",70,1357,42547.3316260593,-84283.1357067363,0
7,"7",70,1372,43018.0931742788,-83657.563803978,0
7,"7",70,1308,41011.5700508658,-80808.0407401101,0
7,"7",70,1346,42203.299585778,-92293.8538996618,0
7,"7",70,1274,0,-79730.4482536587,0
7,"7",70,1282,40195.2687236823,-78112.3455790487,0
7,"7",70,1355,42484.7222860589,-84653.6426746056,0
7,"7",70,1282,40194.615469864,-100015.178069033,0
7,"7",70,1310,41072.97671383,-106278.905221067,0
7,"7",70,1282,40195.1292416174,-80229.7283079669,0
7,"7",70,1302,40821.737654783,-81362.952174247,0
7,"7",70,1300,40759.1051182933,-83589.2139335012,0
7,"7",70,1310,41073.7846842712,-83173.0459299047,0
8,"8",80,916,28593.369193433,-59814.3477025385,0
8,"8",80,935,29186.5016126052,-58496.0638668874,0
8,"8",80,938,29280.4136972445,-64245.741480658,0
8,"8",80,911,28437.8756060488,-46102.6320721513,0
8,"8",80,913,28500.3784555311,-58468.3348161446,0
8,"8",80,884,27594.5014196484,-57920.2465715971,0
8,"8",80,920,28718.217846006,-49189.4020366645,0
8,"8",80,919,28690.4165323256,-53852.7296800354,0
8,"8",80,936,29221.0441787248,-57510.3967594371,0
8,"8",80,929,28999.3226807316,-63714.4143388036,0
8,"8",80,915,28562.1494748954,-60626.1379109749,0
8,"8",80,911,28437.965895127,-52424.3687346092,0
8,"8",80,896,27969.1798345231,-60796.9087358967,0
8,"8",80,952,29719.4272775062,-67417.309439448,0
8,"8",80,873,27251.1246238469,-49504.0428390549,0
8,"8",80,912,28469.621073698,-64483.5865395728,0
8,"8",80,885,27625.7379964553,-65832.7060748852,0
8,"8",80,940,29343.4713223177,-51748.8359021214,0
8,"8",80,928,28968.7334407067,-62601.548210642,0
8,"8",80,937,29248.8936315582,-57366.6420337987,0
8,"8",80,889,27750.7531283251,-62254.5010716657,0
8,"8",80,911,28438.2480517662,-65251.5333643684,0
8,"8",80,940,29342.6650289321,-59429.1961134624,0
8,"8",80,962,30029.8187740325,-61688.7560759796,0
8,"8",80,906,28281.5723096728,-68955.2623148348,0
8,"8",80,895,27943.1578984252,-64655.9015560781,0
8,"8",80,915,28562.1615378306,-46411.6529178468,0
8,"8",80,901,28128.4615896398,-60780.6865588533,0
8,"8",80,894,27907.4138481091,-64585.1018509402,0
8,"8",80,941,29376.6405453991,-53839.6507648864,0
8,"8",80,916,28593.9863768031,-66958.4670680483,0
8,"8",80,918,28655.7854069801,-53439.6881800609,0
8,"8",80,993,31000.3011017429,-59331.0271082373,0
8,"8",80,942,29406.8994396685,-61827.3748172334,0
8,"8",80,896,27970.0325692461,-57520.5461302567,0
8,"8",80,926,28906.5475697314,-55973.8568995414,0
8,"8",80,914,28531.2866600129,-66513.7183196595,0
8,"8",80,921,28750.1358420267,-59987.6142992245,0
8,"8",80,948,29592.4097785238,-52716.5151583292,0
8,"8",80,915,28562.332636233,-55251.5448096269,0
8,"8",80,847,0,-59206.9080884785,0
8,"8",80,927,28938.5531615422,-57321.5187027794,0
8,"8",80,918,28655.896370552,-51544.8202012766,0
8,"8",80,969,30250.9991890565,-63766.1270841775,0
8,"8",80,885,27625.6943293663,-62972.1434863946,0
8,"8",80,939,29311.8806104992,-57123.6622503366,0
8,"8",80,903,28190.2286154277,-52679.0929399891,0
8,"8",80,881,27502.0174051897,-53757.6812231524,0
8,"8",80,902,28156.3710794769,-48338.6107031271,0
8,"8",80,910,28406.0673999726,-64801.9039052836,0
8,"8",80,874,27283.2290926684,-60319.780016347,0
8,"8",80,894,27906.6465352871,-57583.4018971418,0
8,"8",80,912,28471.3284015328,-60067.8905129282,0
8,"8",80,965,30123.2024404661,-58793.5818741141,0
8,"8",80,953,29748.7034852315,-68996.9297054037,0
8,"8",80,967,30185.5126985495,-50543.6805051702,0
8,"8",80,957,29873.2679504818,-60376.697419353,0
8,"8",80,941,29373.8685967625,-57243.1426295402,0
8,"8",80,912,28468.5421389805,-55967.2920010782,0
8,"8",80,869,0,-46769.2158219085,0
8,"8",80,999,31184.3021237899,-56420.3391635381,0
8,"8",80,911,28437.5946961023,-66169.1220068154,0
8,"8",80,938,29280.9471602999,-66490.5078278827,0
8,"8",80,955,29810.9062737486,-55816.6642071161,0
8,"8",80,840,0,-56221.1383691033,0
8,"8",80,939,29311.3513648362,-51360.1698054119,0
8,"8",80,853,0,-58185.0094740376,0
8,"8",80,933,29124.0803659719,-51536.6684918053,0
8,"8",80,923,28812.5656436668,-55086.6381521541,0
8,"8",80,876,27345.0219287391,-59374.5197188904,0
8,"8",80,905,28250.0546052996,-55681.9913179767,0
8,"8",80,956,29844.1323042498,-60479.6016931673,0
8,"8",80,944,29467.3866461884,-54193.3823060072,0
8,"8",80,971,30310.5937681946,-59474.5948301901,0
8,"8",80,948,29592.4087382734,-48628.5259294212,0
8,"8",80,961,29999.5260030614,-53240.1395590213,0
8,"8",80,957,29878.1115370424,-64260.1953146372,0
8,"8",80,878,27407.5061369649,-53586.8628128979,0
8,"8",80,922,28780.748405096,-59441.3263637479,0
8,"8",80,931,29061.5856163152,-55140.4587828268,0
9,"9",100,126,0,-4017.73814000343,0
9,"9",100,156,1861.31830880741,-4162.05956464647,0
9,"9",100,134,1600.61188251262,-4293.48971152468,0
9,"9",100,166,1979.94805187772,-4438.09044776631,0
9,"9",100,145,1729.85456428486,-4074.14006415627,0
9,"9",100,146,1741.5094822759,-4500.76384641592,0
9,"9",100,153,1825.15628377149,-4013.17861509019,0
9,"9",100,124,0,-3192.74233981603,0
9,"9",100,159,1899.10949675826,-4079.58694710839,0
9,"9",100,150,1789.13720506243,-3620.19817561142,0
9,"9",100,160,1908.90249113411,-4276.8296260783,0
9,"9",100,151,1801.19836445159,-4337.67743840976,0
9,"9",100,152,1813.29010955055,-3968.48334978026,0
9,"9",100,144,1717.62966978225,-4058.21450580398,0
9,"9",100,164,1958.51390339008,-3900.90791955516,0
9,"9",100,160,1909.15957550918,-4361.79312709321,0
9,"9",100,152,1813.52178564614,-3390.0362990864,0
9,"9",100,144,1717.6918669213,-3600.42623691615,0
9,"9",100,150,1789.17913989457,-3350.29171451896,0
9,"9",100,161,1920.96375919064,-3546.86161976545,0
9,"9",100,161,1921.51564239691,-4058.33206314554,0
9,"9",100,139,1661.76380090956,-4298.09295173802,0
9,"9",100,144,1719.01872476073,-4011.95190283308,0
9,"9",100,155,1848.83489366337,-4240.9571990405,0
9,"9",100,133,1587.47908778708,-4485.42941443627,0
9,"9",100,165,1972.49108762604,-3880.74681000762,0
9,"9",100,129,1539.33463543638,-3432.77183232353,0
9,"9",100,144,1717.77131376982,-3783.61700851665,0
9,"9",100,155,1849.34705006613,-3604.23911795546,0
9,"9",100,140,1669.83528052482,-4357.18091366237,0
9,"9",100,137,1634.1671917337,-3305.42298608768,0
9,"9",100,156,1860.79064537339,-4136.69952280327,0
9,"9",100,153,1824.98784347769,-4406.46178535059,0
9,"9",100,134,1598.27589838718,-3565.34896290116,0
9,"9",100,145,1729.70584307804,-4051.81738600867,0
9,"9",100,122,0,-3527.60240710117,0
9,"9",100,140,1672.83650916445,-4669.83343864742,0
9,"9",100,134,1598.66103679861,-4116.56346123166,0
9,"9",100,147,1753.34294408042,-3719.7259908619,0
9,"9",100,154,1837.26402958302,-4172.36681209519,0
9,"9",100,154,1837.24395648201,-3637.93334960429,0
9,"9",100,148,1766.83655487505,-3879.89707819812,0
9,"9",100,170,2027.69764906142,-4130.46775093528,0
9,"9",100,134,1598.44064447197,-4446.13575111837,0
9,"9",100,153,1825.90560865903,-3716.97239239723,0
9,"9",100,155,1851.7923401642,-3491.05576279883,0
9,"9",100,138,1646.125504079,-3686.0423553755,0
9,"9",100,138,1646.76968700303,-3763.14005610406,0
9,"9",100,136,1622.30247176469,-3609.22051738725,0
9,"9",100,125,0,-4500.89391237836,0
9,"9",100,157,1872.65365851844,-3336.74021625443,0
9,"9",100,156,1861.18518992828,-4354.59763328607,0
9,"9",100,159,1896.68269378564,-4184.27907469734,0
9,"9",100,144,1717.99350466578,-4083.65194821036,0
9,"9",100,153,1825.15501826664,-4955.03484372205,0
9,"9",100,154,1837.07199185457,-4454.41932106755,0
9,"9",100,150,1789.97483614713,-4805.20898476939,0
9,"9",100,155,1850.1303627273,-4504.29343234672,0
9,"9",100,156,1861.98923237856,-3605.90597006164,0
9,"9",100,140,1670.20805268565,-4839.51813822814,0
9,"9",100,169,2017.20148792258,-4154.21583476305,0
9,"9",100,158,1885.63490822521,-3828.22273755698,0
9,"9",100,139,1658.2392293167,-4099.64770415241,0
9,"9",100,154,1838.39323183939,-3859.62853709197,0
9,"9",100,135,1610.34359173187,-4095.10263579266,0
9,"9",100,170,2028.04881021788,-4619.42755666455,0
9,"9",100,144,1717.58558151649,-4399.70185971735,0
9,"9",100,152,1812.96328840291,-4501.60638872749,0
9,"9",100,164,1956.38439861484,-3391.78052009899,0
9,"9",100,156,1860.74959816594,-3697.04817911345,0
9,"9",100,163,1945.64489190776,-4093.5389326099,0
9,"9",100,145,1729.47660733305,-3994.14207264616,0
9,"9",100,150,1789.28530041232,-3656.14135546021,0
9,"9",100,167,1997.63172894049,-3752.91740373647,0
9,"9",100,149,1777.18409173761,-4883.22044231558,0
9,"9",100,183,2182.72283781578,-3381.14737429936,0
9,"9",100,136,1622.4419247609,-3883.75639870619,0
9,"9",100,166,1980.03178950743,-4324.25809992812,0
9,"9",100,152,1814.4867079363,-4119.17100532908,0
9,"9",100,164,1956.39142553835,-4244.31598529366,0
9,"9",100,137,1634.90082354092,-4826.34625586839,0
9,"9",100,143,1705.73349547777,-4459.62409476209,0
9,"9",100,164,1956.25969097729,-4198.50438164196,0
9,"9",100,159,1899.60323608851,-4024.98243917558,0
9,"9",100,152,1813.57735157678,-4399.06694448141,0
9,"9",100,147,1758.94001266303,-3885.6411372479,0
9,"9",100,143,1706.10084457951,-4391.70705617451,0
9,"9",100,139,1658.24954589534,-4524.14222374097,0
9,"9",100,127,1514.81474362815,-3876.72803482251,0
9,"9",100,165,1968.38116352615,-4005.87727803699,0
9,"9",100,122,0,-4684.07910888591,0
9,"9",100,147,1753.33562930042,-4005.19120370151,0
9,"9",100,143,1705.62651278136,-3865.09814057898,0
9,"9",100,151,1801.89657132845,-4117.61204481139,0
9,"9",100,151,1802.55365996618,-4495.67705364142,0
9,"9",100,153,1825.51986133952,-4379.87730559473,0
9,"9",100,141,1681.76562496946,-3895.7589949457,0
9,"9",100,133,1586.38154522825,-3912.91447522338,0
9,"9",100,145,1731.41345918192,-3779.14524199725,0
9,"9",100,143,1711.94569602694,-4580.32597744314,0
10,"10",800,417,8808.14663087665,-59922.9646766673,0
10,"10",800,472,9969.01681016361,-62825.5467942146,0
10,"10",800,454,9588.27140291372,-60441.8349034128,0
10,"10",800,439,9270.79815386385,-59996.6394661345,0
10,"10",800,408,0,-57382.1871236208,0
10,"10",800,463,9777.65875112625,-59344.3198376422,0
10,"10",800,414,0,-64475.698205407,0
10,"10",800,434,9165.41723787414,-61291.5846968833,0
10,"10",800,458,9672.06547591123,-58181.2634204319,0
10,"10",800,421,8894.5599723352,-61224.3052964133,0
10,"10",800,421,8891.14347805624,-64208.57124376,0
10,"10",800,449,9481.99045063351,-61107.6968596664,0
10,"10",800,447,9441.84551698275,-57214.0923565281,0
10,"10",800,461,9735.95239675713,-60259.9802853108,0
10,"10",800,432,9124.00098501345,-60871.6590430002,0
10,"10",800,479,10117.4351676886,-58509.755947575,0
10,"10",800,460,9714.46218825178,-60389.4417798938,0
10,"10",800,464,9800.03912941139,-58064.4839226644,0
10,"10",800,446,9419.38193012806,-60320.2018766124,0
10,"10",800,483,10200.0633088624,-60157.4327893244,0
10,"10",800,458,9672.53140508882,-62978.3821333655,0
10,"10",800,422,8911.95767117403,-58224.665813141,0
10,"10",800,456,9631.59003000391,-60197.8129541995,0
10,"10",800,476,10052.3667085249,-62244.007097744,0
10,"10",800,445,9398.88132257487,-63689.383636234,0
10,"10",800,451,9526.51694214153,-63055.9572916286,0
10,"10",800,441,9313.34779668387,-63486.1316964996,0
10,"10",800,488,10314.2608214836,-61853.3029944312,0
10,"10",800,443,9355.50135849489,-56287.0440449552,0
10,"10",800,475,10033.2572219151,-62243.4392102654,0
10,"10",800,427,9020.48471782387,-60403.0687822055,0
10,"10",800,439,9272.17009375885,-59075.4827383295,0
10,"10",800,446,9418.62332185921,-57513.429481379,0
10,"10",800,437,9228.6734156038,-60418.4261389106,0
10,"10",800,453,9567.55286097711,-57928.6440612857,0
10,"10",800,454,9589.00770462157,-59668.2602515755,0
10,"10",800,421,8890.89309393973,-62504.7179484473,0
10,"10",800,464,9801.37482562294,-59394.2787978318,0
10,"10",800,462,9758.50210276641,-58900.2640074907,0
10,"10",800,446,9420.22380236142,-64450.2276395733,0
