"b","bF","nb","x1","y0","tauib","y1","Y_Z_0","Y_Z_1","Z","Y","pib","nTb","nCb","nbwt","hbwt"
3,"3",30,1211,41441.7749722697,-70271.9121129882,0,41441.7749722697,0,1,0,0.5,15,15,2,0.5
3,"3",30,1259,43081.8674081209,-42449.7753967269,632.092011393928,43081.8674081209,632.092011393928,0,43081.8674081209,0.5,15,15,2,0.5
3,"3",30,1247,42671.8085300432,-66113.8085122904,0,42671.8085300432,0,1,0,0.5,15,15,2,0.5
3,"3",30,1239,42398.2599381142,-58817.5224490736,0,42398.2599381142,0,0,42398.2599381142,0.5,15,15,2,0.5
3,"3",30,1274,43596.7258456985,-55806.6274647014,0,43596.7258456985,0,1,0,0.5,15,15,2,0.5
3,"3",30,1194,0,-52601.4074689163,0,0,0,1,0,0.5,15,15,2,0.5
3,"3",30,1257,43014.4170789048,-64480.3367958593,0,43014.4170789048,0,0,43014.4170789048,0.5,15,15,2,0.5
3,"3",30,1276,43663.5776855188,-57733.3867921362,0,43663.5776855188,0,1,0,0.5,15,15,2,0.5
3,"3",30,1248,42705.698080966,-56167.0298056799,0,42705.698080966,0,0,42705.698080966,0.5,15,15,2,0.5
3,"3",30,1265,43287.2684844409,-52817.0747925372,0,43287.2684844409,0,0,43287.2684844409,0.5,15,15,2,0.5
3,"3",30,1276,43667.4140990243,-67277.214926964,0,43667.4140990243,0,0,43667.4140990243,0.5,15,15,2,0.5
3,"3",30,1204,41200.2912410327,-54905.1061640978,0,41200.2912410327,0,0,41200.2912410327,0.5,15,15,2,0.5
3,"3",30,1235,42261.1366879302,-65024.9293844559,0,42261.1366879302,0,0,42261.1366879302,0.5,15,15,2,0.5
3,"3",30,1279,43766.4350570785,-50430.4882177575,0,43766.4350570785,0,1,0,0.5,15,15,2,0.5
3,"3",30,1291,44177.2998931877,-44078.2945147406,99.0053784471165,44177.2998931877,99.0053784471165,0,44177.2998931877,0.5,15,15,2,0.5
3,"3",30,1274,43598.0571296034,-64067.2901843497,0,43598.0571296034,0,0,43598.0571296034,0.5,15,15,2,0.5
3,"3",30,1313,44930.0045654496,-62844.9911056428,0,44930.0045654496,0,1,0,0.5,15,15,2,0.5
3,"3",30,1197,0,-60373.6467953724,0,0,0,0,0,0.5,15,15,2,0.5
3,"3",30,1203,41165.7751032403,-54646.7129381503,0,41165.7751032403,0,0,41165.7751032403,0.5,15,15,2,0.5
3,"3",30,1276,43663.6221430522,-57411.6655716603,0,43663.6221430522,0,1,0,0.5,15,15,2,0.5
3,"3",30,1243,42534.9293781284,-69725.6455135696,0,42534.9293781284,0,1,0,0.5,15,15,2,0.5
3,"3",30,1299,44450.6214118005,-43993.979580195,456.641831605484,44450.6214118005,456.641831605484,1,456.641831605484,0.5,15,15,2,0.5
3,"3",30,1313,44929.7540539723,-49140.2230109862,0,44929.7540539723,0,0,44929.7540539723,0.5,15,15,2,0.5
3,"3",30,1262,43185.2418115448,-66938.566910915,0,43185.2418115448,0,0,43185.2418115448,0.5,15,15,2,0.5
3,"3",30,1233,42193.2003318465,-63763.9156411412,0,42193.2003318465,0,0,42193.2003318465,0.5,15,15,2,0.5
4,"4",40,308,4986.8564720544,-6614.90835968486,0,4986.8564720544,0,0,4986.8564720544,0.1,4,36,1.11111111111111,0.1
4,"4",40,302,4890.25166260328,-6650.22560180888,0,4890.25166260328,0,0,4890.25166260328,0.1,4,36,1.11111111111111,0.1
4,"4",40,313,5068.745717901,-8187.54961056083,0,5068.745717901,0,0,5068.745717901,0.1,4,36,1.11111111111111,0.1
4,"4",40,308,4986.83603914274,-5868.94165573459,0,4986.83603914274,0,0,4986.83603914274,0.1,4,36,1.11111111111111,0.1
4,"4",40,296,0,-6742.67471210087,0,0,0,0,0,0.1,4,36,1.11111111111111,0.1
4,"4",40,331,5359.32255428804,-8216.32600063431,0,5359.32255428804,0,0,5359.32255428804,0.1,4,36,1.11111111111111,0.1
4,"4",40,334,5408.21770437953,-8733.26283485322,0,5408.21770437953,0,0,5408.21770437953,0.1,4,36,1.11111111111111,0.1
4,"4",40,326,5278.44066122558,-4939.7653734031,338.675287822482,5278.44066122558,338.675287822482,1,338.675287822482,0.1,4,36,10,0.9
4,"4",40,296,4793.41230691457,-6867.32495974536,0,4793.41230691457,0,0,4793.41230691457,0.1,4,36,1.11111111111111,0.1
4,"4",40,337,5456.37030992196,-6406.57329408884,0,5456.37030992196,0,0,5456.37030992196,0.1,4,36,1.11111111111111,0.1
4,"4",40,321,5203.15546280039,-8648.06925950617,0,5203.15546280039,0,0,5203.15546280039,0.1,4,36,1.11111111111111,0.1
4,"4",40,328,5312.2732580605,-6613.81772032481,0,5312.2732580605,0,0,5312.2732580605,0.1,4,36,1.11111111111111,0.1
4,"4",40,326,5280.07055108865,-8496.56066683364,0,5280.07055108865,0,0,5280.07055108865,0.1,4,36,1.11111111111111,0.1
4,"4",40,327,5294.61784817347,-7493.91301054716,0,5294.61784817347,0,0,5294.61784817347,0.1,4,36,1.11111111111111,0.1
4,"4",40,323,5233.70566674343,-8493.13847477623,0,5233.70566674343,0,0,5233.70566674343,0.1,4,36,1.11111111111111,0.1
4,"4",40,335,5429.25255861392,-4455.84116789512,973.4113907188,5429.25255861392,973.4113907188,0,5429.25255861392,0.1,4,36,1.11111111111111,0.1
4,"4",40,304,4922.15659181049,-5926.50751282974,0,4922.15659181049,0,0,4922.15659181049,0.1,4,36,1.11111111111111,0.1
4,"4",40,349,5651.31465607736,-9365.53899041629,0,5651.31465607736,0,0,5651.31465607736,0.1,4,36,1.11111111111111,0.1
4,"4",40,344,5569.75385413573,-9006.00141918229,0,5569.75385413573,0,1,0,0.1,4,36,10,0.9
4,"4",40,323,5229.69620481966,-7219.63380379824,0,5229.69620481966,0,0,5229.69620481966,0.1,4,36,1.11111111111111,0.1
4,"4",40,305,4939.28372231236,-6271.83585908213,0,4939.28372231236,0,1,0,0.1,4,36,10,0.9
4,"4",40,330,5343.75055944125,-5150.76554333057,192.985016110688,5343.75055944125,192.985016110688,0,5343.75055944125,0.1,4,36,1.11111111111111,0.1
4,"4",40,321,5197.33043246947,-7434.95683114077,0,5197.33043246947,0,0,5197.33043246947,0.1,4,36,1.11111111111111,0.1
4,"4",40,311,5037.71177767885,-8667.03735331556,0,5037.71177767885,0,0,5037.71177767885,0.1,4,36,1.11111111111111,0.1
4,"4",40,303,4906.06906933629,-6428.6859210217,0,4906.06906933629,0,0,4906.06906933629,0.1,4,36,1.11111111111111,0.1
4,"4",40,323,5230.10832533424,-6553.91089983935,0,5230.10832533424,0,0,5230.10832533424,0.1,4,36,1.11111111111111,0.1
4,"4",40,315,5101.20615537962,-6612.77574132867,0,5101.20615537962,0,0,5101.20615537962,0.1,4,36,1.11111111111111,0.1
4,"4",40,358,5796.38809602042,-6806.94632799866,0,5796.38809602042,0,0,5796.38809602042,0.1,4,36,1.11111111111111,0.1
4,"4",40,345,5585.91274102141,-6291.59097180357,0,5585.91274102141,0,0,5585.91274102141,0.1,4,36,1.11111111111111,0.1
4,"4",40,310,5019.36848250918,-8492.03662744664,0,5019.36848250918,0,0,5019.36848250918,0.1,4,36,1.11111111111111,0.1
4,"4",40,340,5505.00936067018,-6811.64105295018,0,5505.00936067018,0,0,5505.00936067018,0.1,4,36,1.11111111111111,0.1
4,"4",40,293,0,-7859.83220771035,0,0,0,1,0,0.1,4,36,10,0.9
4,"4",40,306,4954.67145786245,-7326.79666008085,0,4954.67145786245,0,0,4954.67145786245,0.1,4,36,1.11111111111111,0.1
4,"4",40,324,5245.92017248313,-9588.42788574588,0,5245.92017248313,0,0,5245.92017248313,0.1,4,36,1.11111111111111,0.1
4,"4",40,319,5164.9366574122,-7665.1459869425,0,5164.9366574122,0,0,5164.9366574122,0.1,4,36,1.11111111111111,0.1
4,"4",40,337,5456.39890381548,-8520.3869052183,0,5456.39890381548,0,0,5456.39890381548,0.1,4,36,1.11111111111111,0.1
4,"4",40,313,5068.45110803734,-7231.49359561625,0,5068.45110803734,0,0,5068.45110803734,0.1,4,36,1.11111111111111,0.1
4,"4",40,307,4977.09106996859,-9574.12150916215,0,4977.09106996859,0,0,4977.09106996859,0.1,4,36,1.11111111111111,0.1
4,"4",40,307,4976.55890154223,-7614.73844354548,0,4976.55890154223,0,0,4976.55890154223,0.1,4,36,1.11111111111111,0.1
4,"4",40,349,5653.20213363518,-7302.74088992517,0,5653.20213363518,0,0,5653.20213363518,0.1,4,36,1.11111111111111,0.1
5,"5",50,131,1331.14923888037,-2359.21726662433,0,1331.14923888037,0,1,0,0.5,25,25,2,0.5
5,"5",50,137,1393.65048660054,-1775.43694948941,0,1393.65048660054,0,0,1393.65048660054,0.5,25,25,2,0.5
5,"5",50,146,1484.79131736987,-2259.18453198021,0,1484.79131736987,0,0,1484.79131736987,0.5,25,25,2,0.5
5,"5",50,124,1259.85894365492,-2187.19062694234,0,1259.85894365492,0,0,1259.85894365492,0.5,25,25,2,0.5
5,"5",50,131,1331.24947294897,-2428.68951764485,0,1331.24947294897,0,1,0,0.5,25,25,2,0.5
5,"5",50,149,1513.79083750326,-2625.4110106543,0,1513.79083750326,0,1,0,0.5,25,25,2,0.5
5,"5",50,147,1493.46644515178,-2256.00092172689,0,1493.46644515178,0,0,1493.46644515178,0.5,25,25,2,0.5
5,"5",50,141,1437.79692349639,-2821.22531780053,0,1437.79692349639,0,1,0,0.5,25,25,2,0.5
5,"5",50,112,0,-2268.98420187335,0,0,0,0,0,0.5,25,25,2,0.5
5,"5",50,136,1382.00305461103,-2658.45708730422,0,1382.00305461103,0,0,1382.00305461103,0.5,25,25,2,0.5
5,"5",50,125,1270.00513659722,-2394.12653509988,0,1270.00513659722,0,0,1270.00513659722,0.5,25,25,2,0.5
5,"5",50,125,1270.10572470122,-2363.10547579146,0,1270.10572470122,0,0,1270.10572470122,0.5,25,25,2,0.5
5,"5",50,125,1269.95903613304,-2341.88107158768,0,1269.95903613304,0,0,1269.95903613304,0.5,25,25,2,0.5
5,"5",50,130,1321.03009894347,-1370.65960930284,0,1321.03009894347,0,1,0,0.5,25,25,2,0.5
5,"5",50,134,1361.38991359226,-2305.99307414241,0,1361.38991359226,0,1,0,0.5,25,25,2,0.5
5,"5",50,133,1354.44237033278,-2018.83372619938,0,1354.44237033278,0,1,0,0.5,25,25,2,0.5
5,"5",50,143,1453.265390917,-2090.02657847682,0,1453.265390917,0,0,1453.265390917,0.5,25,25,2,0.5
5,"5",50,130,1320.97759354741,-2125.283714674,0,1320.97759354741,0,1,0,0.5,25,25,2,0.5
5,"5",50,110,0,-2295.78886882201,0,0,0,1,0,0.5,25,25,2,0.5
5,"5",50,134,1362.72376823091,-2285.93143913279,0,1362.72376823091,0,0,1362.72376823091,0.5,25,25,2,0.5
5,"5",50,135,1374.15744741251,-2246.62470534495,0,1374.15744741251,0,1,0,0.5,25,25,2,0.5
5,"5",50,116,0,-2046.39508515196,0,0,0,1,0,0.5,25,25,2,0.5
5,"5",50,134,1362.54819649495,-2037.06279402726,0,1362.54819649495,0,1,0,0.5,25,25,2,0.5
5,"5",50,143,1456.19059551738,-2239.7492712473,0,1456.19059551738,0,0,1456.19059551738,0.5,25,25,2,0.5
5,"5",50,139,1412.37596601065,-2748.5816768695,0,1412.37596601065,0,1,0,0.5,25,25,2,0.5
5,"5",50,132,1344.54609438474,-2192.039277112,0,1344.54609438474,0,1,0,0.5,25,25,2,0.5
5,"5",50,117,1188.98899044155,-2157.79486644486,0,1188.98899044155,0,0,1188.98899044155,0.5,25,25,2,0.5
5,"5",50,140,1423.95139407227,-2355.83084474553,0,1423.95139407227,0,0,1423.95139407227,0.5,25,25,2,0.5
5,"5",50,136,1381.8538500188,-2075.05114737311,0,1381.8538500188,0,1,0,0.5,25,25,2,0.5
5,"5",50,143,1452.9540234954,-2318.87905135067,0,1452.9540234954,0,0,1452.9540234954,0.5,25,25,2,0.5
5,"5",50,124,1261.78727047777,-2750.01595798184,0,1261.78727047777,0,0,1261.78727047777,0.5,25,25,2,0.5
5,"5",50,139,1413.57281595746,-2378.66829607788,0,1413.57281595746,0,1,0,0.5,25,25,2,0.5
5,"5",50,160,1630.36969557854,-2468.31321124774,0,1630.36969557854,0,1,0,0.5,25,25,2,0.5
5,"5",50,145,1474.00725268123,-2192.67296363098,0,1474.00725268123,0,1,0,0.5,25,25,2,0.5
5,"5",50,130,1321.7879872947,-2954.44951370071,0,1321.7879872947,0,1,0,0.5,25,25,2,0.5
5,"5",50,135,1371.73694780625,-2403.90599041866,0,1371.73694780625,0,0,1371.73694780625,0.5,25,25,2,0.5
5,"5",50,126,1280.67620885002,-2509.6813707662,0,1280.67620885002,0,0,1280.67620885002,0.5,25,25,2,0.5
5,"5",50,119,1210.23242905963,-2108.72588695812,0,1210.23242905963,0,1,0,0.5,25,25,2,0.5
5,"5",50,140,1423.21355574881,-1919.40802765473,0,1423.21355574881,0,1,0,0.5,25,25,2,0.5
5,"5",50,135,1371.6516590191,-1851.70600142909,0,1371.6516590191,0,1,0,0.5,25,25,2,0.5
5,"5",50,142,1442.83039552344,-2082.81469828982,0,1442.83039552344,0,0,1442.83039552344,0.5,25,25,2,0.5
5,"5",50,135,1372.04797784185,-2401.41889661483,0,1372.04797784185,0,0,1372.04797784185,0.5,25,25,2,0.5
5,"5",50,122,1240.04275499761,-2483.79888449756,0,1240.04275499761,0,1,0,0.5,25,25,2,0.5
5,"5",50,149,1516.21014467299,-2618.99354476982,0,1516.21014467299,0,0,1516.21014467299,0.5,25,25,2,0.5
5,"5",50,130,1322.61991332393,-2734.68804511443,0,1322.61991332393,0,0,1322.61991332393,0.5,25,25,2,0.5
5,"5",50,136,1381.70927551599,-2628.99698009816,0,1381.70927551599,0,1,0,0.5,25,25,2,0.5
5,"5",50,143,1453.98092592545,-3317.25116911212,0,1453.98092592545,0,0,1453.98092592545,0.5,25,25,2,0.5
5,"5",50,138,1403.95921316364,-2397.60491218491,0,1403.95921316364,0,1,0,0.5,25,25,2,0.5
5,"5",50,137,1396.42079609626,-2181.08883097241,0,1396.42079609626,0,0,1396.42079609626,0.5,25,25,2,0.5
5,"5",50,150,1524.72606570272,-2410.80146932727,0,1524.72606570272,0,0,1524.72606570272,0.5,25,25,2,0.5
6,"6",60,654,18786.111164917,-31619.6676267478,0,18786.111164917,0,0,18786.111164917,0.1,6,54,1.11111111111111,0.1
6,"6",60,683,19620.472285412,-34260.3843349352,0,19620.472285412,0,0,19620.472285412,0.1,6,54,1.11111111111111,0.1
6,"6",60,666,19133.5540717357,-29836.9116393758,0,19133.5540717357,0,0,19133.5540717357,0.1,6,54,1.11111111111111,0.1
6,"6",60,648,18614.8989614806,-31002.1074567259,0,18614.8989614806,0,0,18614.8989614806,0.1,6,54,1.11111111111111,0.1
6,"6",60,684,19648.708565547,-37167.5230647676,0,19648.708565547,0,0,19648.708565547,0.1,6,54,1.11111111111111,0.1
6,"6",60,685,19677.0510514686,-31190.4398182534,0,19677.0510514686,0,0,19677.0510514686,0.1,6,54,1.11111111111111,0.1
6,"6",60,679,19504.8295508036,-35811.4836904119,0,19504.8295508036,0,0,19504.8295508036,0.1,6,54,1.11111111111111,0.1
6,"6",60,651,18699.9734959528,-29678.5053957541,0,18699.9734959528,0,1,0,0.1,6,54,10,0.9
6,"6",60,667,19159.8653286297,-28923.1697457294,0,19159.8653286297,0,0,19159.8653286297,0.1,6,54,1.11111111111111,0.1
6,"6",60,692,19878.0961606203,-28498.2185592676,0,19878.0961606203,0,0,19878.0961606203,0.1,6,54,1.11111111111111,0.1
6,"6",60,640,18384.6422979159,-37211.7559754059,0,18384.6422979159,0,0,18384.6422979159,0.1,6,54,1.11111111111111,0.1
6,"6",60,625,17953.085449971,-27206.6575535232,0,17953.085449971,0,0,17953.085449971,0.1,6,54,1.11111111111111,0.1
6,"6",60,672,19304.4404748554,-39576.8591136029,0,19304.4404748554,0,0,19304.4404748554,0.1,6,54,1.11111111111111,0.1
6,"6",60,603,0,-32410.7198805584,0,0,0,0,0,0.1,6,54,1.11111111111111,0.1
6,"6",60,654,18788.6244701978,-37981.0821972363,0,18788.6244701978,0,0,18788.6244701978,0.1,6,54,1.11111111111111,0.1
6,"6",60,648,18618.9412060178,-38592.686733327,0,18618.9412060178,0,0,18618.9412060178,0.1,6,54,1.11111111111111,0.1
6,"6",60,641,18412.8216927126,-24164.4763452104,0,18412.8216927126,0,0,18412.8216927126,0.1,6,54,1.11111111111111,0.1
6,"6",60,625,17953.7007923644,-31064.684987209,0,17953.7007923644,0,0,17953.7007923644,0.1,6,54,1.11111111111111,0.1
6,"6",60,685,19676.9930050598,-27292.742302671,0,19676.9930050598,0,0,19676.9930050598,0.1,6,54,1.11111111111111,0.1
6,"6",60,612,17580.1424682141,-27996.4996730759,0,17580.1424682141,0,0,17580.1424682141,0.1,6,54,1.11111111111111,0.1
6,"6",60,652,18729.1214531005,-27421.7324184854,0,18729.1214531005,0,0,18729.1214531005,0.1,6,54,1.11111111111111,0.1
6,"6",60,593,0,-28236.5726134397,0,0,0,0,0,0.1,6,54,1.11111111111111,0.1
6,"6",60,662,19015.9087072594,-26057.8356397949,0,19015.9087072594,0,0,19015.9087072594,0.1,6,54,1.11111111111111,0.1
6,"6",60,667,19159.61264928,-30150.6039482974,0,19159.61264928,0,0,19159.61264928,0.1,6,54,1.11111111111111,0.1
6,"6",60,609,17493.506453116,-34611.8721448046,0,17493.506453116,0,1,0,0.1,6,54,10,0.9
6,"6",60,621,17839.0434372123,-36934.645920593,0,17839.0434372123,0,0,17839.0434372123,0.1,6,54,1.11111111111111,0.1
6,"6",60,620,17809.4731942177,-29247.3024070131,0,17809.4731942177,0,0,17809.4731942177,0.1,6,54,1.11111111111111,0.1
6,"6",60,678,19475.8597841613,-29810.6557799104,0,19475.8597841613,0,0,19475.8597841613,0.1,6,54,1.11111111111111,0.1
6,"6",60,654,18786.1149423716,-32105.8813352132,0,18786.1149423716,0,0,18786.1149423716,0.1,6,54,1.11111111111111,0.1
6,"6",60,652,18729.2317076206,-35017.1911621319,0,18729.2317076206,0,1,0,0.1,6,54,10,0.9
6,"6",60,674,19360.6053277476,-31144.6506630051,0,19360.6053277476,0,1,0,0.1,6,54,10,0.9
6,"6",60,695,19964.1737350849,-34561.3813526661,0,19964.1737350849,0,1,0,0.1,6,54,10,0.9
6,"6",60,645,18528.152209785,-25546.8771063967,0,18528.152209785,0,0,18528.152209785,0.1,6,54,1.11111111111111,0.1
6,"6",60,683,19620.4866405674,-35349.1382031468,0,19620.4866405674,0,0,19620.4866405674,0.1,6,54,1.11111111111111,0.1
6,"6",60,650,18672.0949960263,-35641.3593679487,0,18672.0949960263,0,0,18672.0949960263,0.1,6,54,1.11111111111111,0.1
6,"6",60,636,18270.6039061133,-33057.3300183933,0,18270.6039061133,0,0,18270.6039061133,0.1,6,54,1.11111111111111,0.1
6,"6",60,624,17925.333668479,-36504.1041599082,0,17925.333668479,0,0,17925.333668479,0.1,6,54,1.11111111111111,0.1
6,"6",60,623,17897.0581938392,-37476.5306840202,0,17897.0581938392,0,0,17897.0581938392,0.1,6,54,1.11111111111111,0.1
6,"6",60,728,20914.9958559256,-34299.8259904315,0,20914.9958559256,0,0,20914.9958559256,0.1,6,54,1.11111111111111,0.1
6,"6",60,662,19017.575019436,-31087.5201464108,0,19017.575019436,0,0,19017.575019436,0.1,6,54,1.11111111111111,0.1
6,"6",60,668,19188.7290420387,-33163.2582364399,0,19188.7290420387,0,0,19188.7290420387,0.1,6,54,1.11111111111111,0.1
6,"6",60,684,19650.9129176637,-29755.7443530391,0,19650.9129176637,0,0,19650.9129176637,0.1,6,54,1.11111111111111,0.1
6,"6",60,638,18326.6321674496,-37208.802026745,0,18326.6321674496,0,0,18326.6321674496,0.1,6,54,1.11111111111111,0.1
6,"6",60,711,20423.6580428126,-37233.8939769163,0,20423.6580428126,0,0,20423.6580428126,0.1,6,54,1.11111111111111,0.1
6,"6",60,628,18041.6404936958,-30836.7540414816,0,18041.6404936958,0,0,18041.6404936958,0.1,6,54,1.11111111111111,0.1
6,"6",60,640,18384.5532577253,-29116.1343431532,0,18384.5532577253,0,1,0,0.1,6,54,10,0.9
6,"6",60,596,0,-32046.245666274,0,0,0,0,0,0.1,6,54,1.11111111111111,0.1
6,"6",60,696,19992.8599785145,-34195.7213795006,0,19992.8599785145,0,0,19992.8599785145,0.1,6,54,1.11111111111111,0.1
6,"6",60,663,19044.6549664352,-32754.2815559688,0,19044.6549664352,0,0,19044.6549664352,0.1,6,54,1.11111111111111,0.1
6,"6",60,649,18642.5866329784,-33297.0973952495,0,18642.5866329784,0,0,18642.5866329784,0.1,6,54,1.11111111111111,0.1
6,"6",60,663,19044.7043745507,-32565.3855964419,0,19044.7043745507,0,0,19044.7043745507,0.1,6,54,1.11111111111111,0.1
6,"6",60,622,17869.4199553751,-39146.00741533,0,17869.4199553751,0,0,17869.4199553751,0.1,6,54,1.11111111111111,0.1
6,"6",60,706,20280.2862937339,-26782.5285881979,0,20280.2862937339,0,0,20280.2862937339,0.1,6,54,1.11111111111111,0.1
6,"6",60,666,19133.3849715816,-31176.3906734071,0,19133.3849715816,0,0,19133.3849715816,0.1,6,54,1.11111111111111,0.1
6,"6",60,656,18843.7036062165,-39431.7752473294,0,18843.7036062165,0,0,18843.7036062165,0.1,6,54,1.11111111111111,0.1
6,"6",60,691,19849.0970959532,-37556.0530593093,0,19849.0970959532,0,0,19849.0970959532,0.1,6,54,1.11111111111111,0.1
6,"6",60,643,18470.3329414492,-32916.099098835,0,18470.3329414492,0,0,18470.3329414492,0.1,6,54,1.11111111111111,0.1
6,"6",60,654,18786.5304527804,-26846.3084251546,0,18786.5304527804,0,0,18786.5304527804,0.1,6,54,1.11111111111111,0.1
6,"6",60,670,19248.517623239,-27786.3026896518,0,19248.517623239,0,0,19248.517623239,0.1,6,54,1.11111111111111,0.1
6,"6",60,661,18990.774536732,-36627.2071728275,0,18990.774536732,0,0,18990.774536732,0.1,6,54,1.11111111111111,0.1
7,"7",70,1300,40758.9633478409,-96891.2268437766,0,40758.9633478409,0,0,40758.9633478409,0.5,35,35,2,0.5
7,"7",70,1285,40288.7723597751,-65812.0302569009,0,40288.7723597751,0,0,40288.7723597751,0.5,35,35,2,0.5
7,"7",70,1324,41511.7503244308,-87174.3209154242,0,41511.7503244308,0,0,41511.7503244308,0.5,35,35,2,0.5
7,"7",70,1290,40447.718084261,-90004.9123252578,0,40447.718084261,0,1,0,0.5,35,35,2,0.5
7,"7",70,1291,40476.7935537103,-82825.0364638439,0,40476.7935537103,0,1,0,0.5,35,35,2,0.5
7,"7",70,1312,41135.495363058,-78549.6149942421,0,41135.495363058,0,0,41135.495363058,0.5,35,35,2,0.5
7,"7",70,1311,41104.0642108075,-66987.1637363827,0,41104.0642108075,0,1,0,0.5,35,35,2,0.5
7,"7",70,1303,40853.460665521,-80470.9225730203,0,40853.460665521,0,1,0,0.5,35,35,2,0.5
7,"7",70,1341,42045.2073794656,-94346.9492668807,0,42045.2073794656,0,1,0,0.5,35,35,2,0.5
7,"7",70,1316,41261.8321183571,-64150.8568871033,0,41261.8321183571,0,0,41261.8321183571,0.5,35,35,2,0.5
